component_group_name,component_name,meta_value,GCMS_SIM
3PG,3PG_459,calculated_concentration,4027970.41809
3PG,3PG_460,calculated_concentration,4007813.28937
3PG,3PG_461,calculated_concentration,2033134.76024
3PG,3PG_462,calculated_concentration,860059.595309
3PG,3PG_463,calculated_concentration,274018.491597
Citrate,Citrate_465,calculated_concentration,15897314.0574
Citrate,Citrate_466,calculated_concentration,6107344.3547
Citrate,Citrate_467,calculated_concentration,3798418.29391
Citrate,Citrate_468,calculated_concentration,976587.841819
Citrate,Citrate_469,calculated_concentration,284640.974974
Citrate,Citrate_470,calculated_concentration,58910.4465085
Citrate,Citrate_471,calculated_concentration,100920.253981
DHAP,DHAP_400,calculated_concentration,1784685.14733
DHAP,DHAP_401,calculated_concentration,1309374.58616
DHAP,DHAP_402,calculated_concentration,603384.162549
DHAP,DHAP_403,calculated_concentration,228336.5068
DHAP,DHAP_404,calculated_concentration,72855.5840152
E4P,E4P_217,calculated_concentration,432299988.98
E4P,E4P_218,calculated_concentration,284959135.146
E4P,E4P_219,calculated_concentration,155407756.193
E4P,E4P_220,calculated_concentration,52448457.8892
E4P,E4P_221,calculated_concentration,71329404.758
Erythritol,Erythritol_307,calculated_concentration,37450375.8705
Erythritol,Erythritol_308,calculated_concentration,15594552.1217
Erythritol,Erythritol_309,calculated_concentration,6021560.39543
Erythritol,Erythritol_310,calculated_concentration,1362349.41611
Erythritol,Erythritol_311,calculated_concentration,375069.085829
F6P,F6P_217,calculated_concentration,436852441.718
F6P,F6P_218,calculated_concentration,333980335.141
F6P,F6P_219,calculated_concentration,176432717.15
F6P,F6P_220,calculated_concentration,87113350.1236
F6P,F6P_221,calculated_concentration,161827481.452
F6P,F6P_357,calculated_concentration,3003135.06603
F6P,F6P_358,calculated_concentration,2152431.19164
F6P,F6P_359,calculated_concentration,2439238.35962
F6P,F6P_360,calculated_concentration,2528708.18749
Fumarate,Fumarate_245,calculated_concentration,28430716.6524
Fumarate,Fumarate_246,calculated_concentration,107400812.711
Fumarate,Fumarate_247,calculated_concentration,182827200.295
Fumarate,Fumarate_248,calculated_concentration,1091851158.07
Fumarate,Fumarate_249,calculated_concentration,1265646070.23
Fumarate,Fumarate_250,calculated_concentration,460108022.55
G3P,G3P_445,calculated_concentration,12377725.2715
G3P,G3P_446,calculated_concentration,11227694.5264
G3P,G3P_447,calculated_concentration,4686747.85141
G3P,G3P_448,calculated_concentration,1854600.79802
G3P,G3P_449,calculated_concentration,548633.817328
G6P,G6P_160,calculated_concentration,28785907.6538
G6P,G6P_161,calculated_concentration,31797060.9938
G6P,G6P_162,calculated_concentration,9956911.77801
G6P,G6P_163,calculated_concentration,6214680.52964
G6P,G6P_357,calculated_concentration,6690080.15644
G6P,G6P_358,calculated_concentration,10077193.6459
G6P,G6P_359,calculated_concentration,6465041.66608
G6P,G6P_360,calculated_concentration,3587633.63405
G6P,G6P_471,calculated_concentration,210527.534775
G6P,G6P_472,calculated_concentration,226396.82084
G6P,G6P_473,calculated_concentration,152393.191259
G6P,G6P_474,calculated_concentration,96321.8262102
G6P,G6P_475,calculated_concentration,112436.149642
G6P,G6P_476,calculated_concentration,138950.660171
G6P,G6P_711,calculated_concentration,277066.954812
G6P,G6P_713,calculated_concentration,51345.1682241
GAP,GAP_328,calculated_concentration,27114862.3509
GAP,GAP_329,calculated_concentration,18247288.1669
GAP,GAP_330,calculated_concentration,6107150.35163
GAP,GAP_331,calculated_concentration,2336027.49287
GAP,GAP_332,calculated_concentration,878599.996713
GAP,GAP_400,calculated_concentration,249288.760994
GAP,GAP_401,calculated_concentration,153431.2617
GAP,GAP_402,calculated_concentration,99909.6551263
GAP,GAP_403,calculated_concentration,58463.4699425
GAP,GAP_404,calculated_concentration,52569.5989799
Lactate,Lactate_219,calculated_concentration,15312772.9093
Lactate,Lactate_220,calculated_concentration,140557650.552
Lactate,Lactate_221,calculated_concentration,101632438.307
Lactate,Lactate_222,calculated_concentration,31256979.1994
Lactate,Lactate_223,calculated_concentration,8745888.92355
Malate,Malate_247,calculated_concentration,37483894.946
Malate,Malate_248,calculated_concentration,364301058.316
Malate,Malate_249,calculated_concentration,391295711.131
Malate,Malate_250,calculated_concentration,143917740.061
PEP,PEP_370,calculated_concentration,3339742.86044
PEP,PEP_371,calculated_concentration,1498384.60009
PEP,PEP_372,calculated_concentration,586125.230727
PEP,PEP_373,calculated_concentration,163617.14252
Pyruvate,Pyruvate_174,calculated_concentration,58512532.3643
Pyruvate,Pyruvate_175,calculated_concentration,34035772.8975
Pyruvate,Pyruvate_176,calculated_concentration,10716059.732
R5P,R5P_160,calculated_concentration,13316320.5068
R5P,R5P_161,calculated_concentration,13983558.4404
R5P,R5P_162,calculated_concentration,12887693.7479
R5P,R5P_163,calculated_concentration,28432995.7344
R5P,R5P_357,calculated_concentration,14166798.1544
R5P,R5P_358,calculated_concentration,4443917.67666
R5P,R5P_359,calculated_concentration,1925895.76008
R5P,R5P_360,calculated_concentration,2292941.28964
S7P,S7P_358,calculated_concentration,1363866.62799
S7P,S7P_359,calculated_concentration,8400401.69927
S7P,S7P_360,calculated_concentration,10535902.4683
S7P,S7P_471,calculated_concentration,690326.83404
S7P,S7P_472,calculated_concentration,355299.442509
S7P,S7P_473,calculated_concentration,259118.016856
S7P,S7P_474,calculated_concentration,242354.931873
S7P,S7P_475,calculated_concentration,501632.379979
Succinate,Succinate_247,calculated_concentration,182827200.295
Succinate,Succinate_248,calculated_concentration,1091851158.07
Succinate,Succinate_249,calculated_concentration,1265646070.23
Succinate,Succinate_250,calculated_concentration,460108022.55
Succinate,Succinate_251,calculated_concentration,98573922.3317
Succinate,Succinate_252,calculated_concentration,17657249.6707
aKG,aKG_304,calculated_concentration,16281211.2634
aKG,aKG_305,calculated_concentration,23587085.7372
aKG,aKG_306,calculated_concentration,120484909.15
aKG,aKG_307,calculated_concentration,199665458.422
aKG,aKG_308,calculated_concentration,67262943.8069
aKG,aKG_309,calculated_concentration,23163822.6057
aKG,aKG_310,calculated_concentration,4451994.13411
