component_group_name,component_name,meta_value,20180320_Lars Nielsen samples Vienna_dx20_BA10_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA11_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA3_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA4_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA5_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA6_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA7_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA8_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA9_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB10_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB11_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB3_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB4_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB5_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB6_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB7_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB8_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB9_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC3_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC4_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC5_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC6_Emission_1,AAmix_0p1ug_mL_1_Emission_1,AAmix_0p1ug_mL_2_Emission_1,AAmix_0p25ug_mL_1_Emission_1,AAmix_0p25ug_mL_2_Emission_1,AAmix_0p5ug_mL_1_Emission_1,AAmix_0p5ug_mL_2_Emission_1,AAmix_10ug_mL_1_Emission_1,AAmix_10ug_mL_2_Emission_1,AAmix_1ug_mL_1_Emission_1,AAmix_1ug_mL_2_Emission_1,AAmix_25ug_mL_1_Emission_1,AAmix_25ug_mL_2_Emission_1,AAmix_2p5ug_mL_1_Emission_1,AAmix_2p5ug_mL_2_Emission_1,AAmix_50ug_mL_1_Emission_1,AAmix_50ug_mL_2_Emission_1,AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_2_Emission_1,AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_2_Emission_1,Blank_IS_1_Emission_1,Blank_IS_2_Emission_1,Blank_IS_3_Emission_1,Blank_IS_4_Emission_1,Blank_IS_5_Emission_1,Blank_IS_cleaning_Emission_1
2-aminobutyrate,2-aminobutyrate,calculated_concentration,94.5705510736,95.6975666997,93.1902378909,40.1424849152,0.295197444242,26.0051852586,80.5352207693,89.1943378435,0.75710930883,14.00742624,8.88054078532,16.5243420044,4.53659446747,18.0804817332,12.1864067136,20.195319858,0.223830223102,18.5927164233,19.5661087908,0.147037620618,1.03037878049,11.6555610408,17.8804381614,1.08305726659,17.7659046267,6.59962355855,19.6502573098,5.71719954031,16.5534363711,166.714765159,0.105348221765,2.14419016007,0.491172523133,1.93851381654,0.0595658167902,0.295200690726,28.241259231,1.28867601221,1.08307205384,0.105348221765,29.2999093594,1.18682431739,16.3203467224,1.84559591538,41.8527389225,56.3675754648,5.36721922641,9.39322768382,11.7182799898,23.3222640444,nan,2.07612015429,0.395836045104,0.896021526936,1.63268964646,0.295194197751
Alanine,Alanine,calculated_concentration,46.1491516836,48.9288715939,47.5258532525,66.3086780189,111.175698154,76.0878505673,75.4537391465,81.60955125,7.15152675928,0.190264282641,233.517316858,25.5546518613,0.891363829757,19.2346861486,2.79620195259,6.08409937654,4.56166345111,5.71032779442,16.6566476612,0.568264398722,24.3071524489,4.74873682256,1.85823331022,0.649096084977,19.9520391902,3.54562391512,18.4640569109,18.703272006,0.352460717191,22.1831390768,185.070243971,28.101894234,310.961039626,nan,nan,nan,0.325459808458,1.50940034349,nan,nan,0.676031501407,9.36443158062,2.6622932119,nan,50.6757825089,47.8170556804,4.64186174318,2.39439990305,76.774894692,76.4578248552,3.06391055805,51.7608354878,57.1849524623,52.2107550628,52.6870438141,84.0396534878
Arginine,Arginine,calculated_concentration,64.1814692694,43.9832868107,39.7705993033,45.9530819303,117.891637107,23.7768971221,52.1917670485,30.9435078599,24.5506428092,47.1040803385,45.0311772293,24.1728081445,31.4946432923,44.5816210561,17.9503711356,34.46482576,nan,31.6722155819,46.8239867076,14.198793693,35.5192194524,50.9545278065,17.9505434118,14.198793693,nan,19.5641032664,55.5700355359,50.5068807866,44.3186087633,31.3140088776,91.507941404,94.0596649787,111.350938383,111.821231773,130.618167835,132.244670956,17.9505434118,31.3140597553,nan,nan,26.2248582302,25.2594958969,nan,nan,70.7849777682,42.7104041125,nan,50.3702093375,78.6859821474,78.9593691139,26.2249157528,69.2415622245,70.3910197027,72.5545710176,72.9779301042,nan
Asparagine,Asparagine,calculated_concentration,3.19466638565,4.19733285904,11.9999923706,4.9439997673,4.6719994545,3.18398189545,4.4266667366,nan,3.285333395,3.01867103577,4.54933309555,4.84800004959,4.54933357239,4.57066631317,4.9439997673,4.03200006485,nan,4.04799985886,nan,3.41333293915,3.57866597176,3.41866660118,nan,3.63733291626,nan,4.25066661835,nan,nan,3.51466655731,3.30666661263,16.3466663361,17.7546653748,36.0106658936,36.5226669312,72.6399993896,74.0906677246,1.05066096783,nan,nan,nan,3.2479994297,nan,nan,nan,6.8266658783,6.57600021362,nan,nan,10.6186666489,10.3839998245,nan,29.1626663208,3.445333004,4.38933372498,3.87733197212,nan
Aspartate,Aspartate,calculated_concentration,nan,0.000643478367549,nan,0.127614803954,nan,nan,nan,nan,0.0150550905198,nan,nan,nan,0.0524608123635,nan,nan,nan,nan,nan,nan,nan,0.01398516283,nan,nan,nan,nan,nan,nan,nan,nan,0.0999479243334,0.103253728992,0.105570108718,0.227709842655,2.69693061566e-05,0.48124620811,0.470212108045,nan,0.116430238779,1.08557989556,1.02501112673,nan,nan,nan,0.0992836331734,nan,nan,0.0257484487092,nan,0.0398117084926,nan,nan,0.0100437593988,0.0402102109198,0.0165219460629,0.0195641248587,nan
Cysteine,Cysteine,calculated_concentration,0.0205507756043,0.00926857397895,0.0347338235899,0.231309693884,0.50120810459,0.320193113896,0.164299297861,0.111305154871,0.172222178522,0.539536164882,0.402136128844,0.348554952364,0.0207419410973,0.0255710337296,0.0394379000649,0.130975385084,0.0914654627872,0.231310356726,0.134680675971,0.0645472299874,0.00323860343625,0.0764322485184,0.0713636239739,0.0480857494855,0.0356344859042,0.00452571103704,0.0401040888481,4069789.73589,5602394.04725,5656896.20809,0.122953706187,0.0781881902393,3.14987765579,27.6557448368,8312.18829002,3595.37037676,5.60815228517e-05,0.0016340150134,775001.771992,242138.024963,0.0492725434922,0.0921427039137,4.0427996449,3.12282111797,1.14829597614,0.140405909255,4.26601630576,4.88008755067,0.297465949161,498.999087359,nan,nan,7.24620411185,nan,4.31898389349,nan
GhostPeak,GhostPeak,calculated_concentration,60.1621255669,60.6220337758,57.7650281029,67.1922287553,60.1110465234,62.4644072807,62.259483147,10.0634531788,61.4403133235,30.7846767236,534.116107854,33.5055641631,618.866905409,5.42945714577,558.489177631,4.34298917246,61.9521911769,59.4983236426,585.766281651,58.6821504805,543.733042451,531.136095076,58.5292151688,587.359933006,1.1288264283,567.407650415,60.4687045175,0.0252475375048,56.8999290096,59.4983190793,251.338483037,242.303127127,61.1333517837,55.3758565419,61.3379867844,54.6150699957,538.618373535,58.4782301533,1.16604713124,0.9808991652,37.6198963469,485.276146052,2.04457524338,432.817180174,64.6193437192,76.4662435429,0.342027171726,0.0252475375048,69.5145724728,66.9345846972,1.2408068569,44.5065469736,58.42727603,56.2899062037,56.5948496443,0.113908216163
Glutamate,Glutamate,calculated_concentration,10.7359886169,12.0213212967,nan,9.04533290863,8.9653339386,nan,5.89333200455,12.5813512802,6.05866670609,7.80800008774,8.17600059509,nan,8.47999954224,8.74133396149,9.42933273315,8.59733390808,nan,nan,8.6453332901,8.70933628082,3.80800008774,9.22132968903,8.52266311646,8.03733062744,10.5493345261,10.1440019608,11.5039978027,4.27197360992,4.94397211075,12.0906667709,14.2559995651,14.373333931,29.9946689606,29.2639980316,58.2293357849,58.5813331604,7.79733228683,nan,8.74666595459,2.41074204445,2.63999938965,8.38933372498,8.45866584778,8.13333511353,5.34400033951,5.16266679764,8.5280008316,8.70400047302,8.46933269501,8.52799987793,nan,3.45600056648,3.68533396721,3.39733338356,4.39010429382,nan
Glutamine,Glutamine,calculated_concentration,85.2821769275,79.7024160938,86.4544677939,63.1138326715,58.1740964154,63.1924801087,nan,13.154892655,nan,13.9069281623,2.00642483798,20.0139307129,45.1775000933,45.4488221081,48.0622333483,2600.35283053,2661.67387825,2333.8915733,nan,17.31996966,16.8369714582,14.5137532954,nan,16.2310433592,29.063234404,16.0170463374,nan,nan,13.9470227089,19.638503727,241.492667821,193.397873626,958.421474601,1021.94721242,3317.41864323,3356.11774048,14.1886711554,10.2297990798,2351.5971428,2146.85918645,31.0973268209,20.3925306709,11.6698519919,nan,41.847438687,39.2654650066,5.20422422483,nan,89.0953211198,88.9120752331,nan,3.47120574922,2.43045771324,11.8185953155,16.8806383451,205.210354775
Glycine,Glycine,calculated_concentration,4.6268890762,5.68289752871,6.89017617241,665.775847415,749.023634864,731.209975123,0.162527322154,2.85148310627,nan,0.394950476053,0.206666318828,nan,nan,0.189742157054,nan,0.64568782328,nan,0.583252157882,0.288171445763,0.153966446186,nan,0.591960584085,nan,nan,nan,nan,1.23870821161,0.549110013134,0.650279817791,0.100953571424,1344.89415946,1587.57069999,3635.48422138,719.733020153,2895.00872594,3134.58088579,3.12434560612,0.0146396675762,1.01012255307,24.0140258306,10.5185039376,4.84233931708,2.46733469168,nan,50.7326696441,49.4299496637,0.930185919453,0.536584810419,7.30724660802,4.49062091737,0.0177552220595,396.011233965,488.867737563,493.847360469,536.059826883,78.7689136684
Histidine,Histidine,calculated_concentration,58.8118059655,55.3724851287,59.531215722,44.9820434266,41.8329154076,45.0319582414,nan,11.1311307929,nan,11.6960903781,2.08572085543,16.1747742156,33.3986379671,33.5772081819,35.2913593223,1233.67400703,1259.54908054,1120.43718547,nan,nan,nan,nan,nan,nan,22.5485247335,nan,nan,nan,nan,15.9042912682,31.6328805393,45.7327501904,124.053321434,130.183123667,336.698373848,368.055706338,11.906877619,8.89760012221,1128.00371576,1040.11368905,23.9486918584,16.4469813906,10.0048587736,nan,31.1971493038,26.5564002651,4.87400120643,nan,75.8111482136,28.6729456956,nan,3.39827887806,2.47404873529,0.195383809088,1.46839532602,128.549074938
Isoleucine,Isoleucine,calculated_concentration,0.501333475113,0.12800000608,0.383997499943,0.0586685016751,0.0319994986057,0.00533299986273,2.55998849869,0.0106664998457,4.00001239777,0.112000003457,0.277333498001,0.741332471371,1.55733346939,0.629335522652,0.0266660004854,1.83466649055,0.0106664998457,2.12267804146,0.192000001669,2.3253455162,3.27467942238,0.165334999561,0.45866549015,1.7706669569,0.138665497303,0.181331500411,0.613337993622,3.55733299255,1.55734145641,0.362665504217,22.0906658173,0.1333335042,48.1813316345,48.0159988403,0.245329499245,93.2266693115,0.0906670019031,0.181332498789,0.0373339988291,134.095993042,0.143999993801,0.0853319987655,1.61065900326,1.35999953747,0.575995028019,2.15466547012,0.0373345017433,3.40265989304,12.2773332596,0.0373330004513,15.2693328857,2.40533304214,0.0639994964004,6.02667093277,0.421332985163,0.335999011993
Leucine,Leucine,calculated_concentration,2.61160914925,5.29584531818,9.36501522272,5.29586665825,4.57618279964,13.6686296597,146.885611453,4.57615891415,20.2334915147,43.4147755977,3.30561359541,44.7517301484,17.6386090412,13.5531845675,1.98733222406,36.617132808,7.30889870454,34.0918591437,7.21815061498,42.1498432696,37.681428406,9.81101852015,10.3838448287,7.03401683955,2.20951011568,4.44829622825,3.76331754074,5.95097324302,35.0651256359,5.06417418265,102.558772617,201.867933428,160.125782511,158.900693171,10.6618799881,6.65496594573,10.1003384826,3.30558340158,13.4369769891,1.16677235866,7.48807923187,1.98733222406,4.70160227757,6.36017019551,55.4150375251,55.4150412794,21.214334898,3.76334483707,71.5655726187,72.1401467909,8.42343754374,0.779901769894,2.61164466599,45.2639346809,4.31761662689,4.70160227757
Lysine,Lysine,calculated_concentration,2.26814242989,156.526879231,2.26817849,68.4589104022,1.59122815759,68.9916397155,585.20892978,0.208786548568,790.535152665,5.40913111147,91.1978429907,1.68826921587,64.2823889985,12.8675347775,70.234289233,0.10609320272,4.55833473947,64.8159157428,2.07528391291,62.8591345066,65.4382246416,2.65265563909,63.4819044288,2.94015051748,0.610518145967,65.7937713617,6.35065272718,4.27387013869,63.5708607649,63.2150215347,1304.58866599,7.66332112647,1426.45424586,1367.86873881,1.88204158998,418.547266994,7.85032962608,4.55830827339,1.2014716614,33.7486332796,69.7017956015,0.510920389196,17.7453234767,35.0124357579,85.1077222511,3.13148179801,3.79892375739,5.88028914579,78.8301904617,84.666045553,37.8067362944,186.065584357,117.571582887,1020.4826818,28.4099152146,0.907151173401
Methionine,Methionine,calculated_concentration,6.82666635513,5.4719991684,6.57599973679,7.55733346939,3.27999305725,7.06666707993,3.52533745766,7.39733409882,0.581333518028,4.25067281723,3.50399947166,3.98399996758,7.09866666794,4.89600372314,nan,4.75200605392,3.96267104149,6.75733327866,5.68000745773,0.0320000015199,6.97600030899,6.91733312607,6.65600013733,nan,5.34400749207,6.6186671257,0.0533325001597,nan,5.63732671738,4.98133850098,14.8480033875,4.87466621399,38.6079940796,35.8933296204,0.576002001762,78.9119949341,7.13066720963,0.00533299986273,0.00533349998295,6.57066631317,0.0213339999318,nan,0.0640010014176,6.5439991951,0.058667499572,0.0533315017819,0.501340508461,6.57599973679,10.8853330612,10.5173330307,0.40000000596,0.383999496698,0.00533299986273,0.143999993801,0.373330503702,0.293334007263
Phenylalanine,Phenylalanine,calculated_concentration,0.0639994964004,18.7467346191,nan,0.0373339988291,nan,0.0693335011601,0.0959995016456,nan,0.0533315017819,0.101332500577,0.245333001018,0.191998496652,0.0746665000916,nan,0.0533349998295,0.181333005428,nan,0.0106664998457,nan,0.0266674999148,0.0426670014858,0.0639994964004,0.0639994964004,0.128001496196,nan,0.181335493922,nan,0.0800004974008,0.106665499508,0.362665504217,14.9493322372,0.0799989998341,32.8106651306,33.5093345642,0.143999993801,69.6586685181,0.13866700232,0.122666999698,0.117333002388,0.218666002154,0.05866599828,nan,0.0800015032291,0.0853329971433,nan,nan,0.0106664998457,0.048000998795,12.2773332596,nan,0.448000013828,0.106666497886,0.170666500926,0.746662020683,0.463995486498,0.490666002035
Serine,Serine,calculated_concentration,nan,30.034663939,nan,34.4284843142,32.8415798238,49.9674073482,31.3970557441,nan,nan,24.8160099602,34.0874672959,37.011140869,27.9190981382,42.9049004453,28.9486707957,27.2393200999,281.67299031,29.1408993457,nan,27.4662799507,27.1094627626,25.3108999999,nan,26.6539559517,34.8924357642,26.4909036923,nan,nan,24.8490626358,24.7829440796,218.591987204,235.376635282,296.351076664,315.853011541,323.721059119,329.103343049,9.46275248354,nan,nan,nan,28.6277268133,nan,nan,nan,45.0581905399,50.5705725228,nan,nan,76.2669332189,74.677590803,nan,151.234987451,157.505956601,160.634170696,166.039999654,nan
Threonine,Threonine,calculated_concentration,20.315988828,23.5484583194,27.0427184376,720.802367794,784.452160023,771.00724548,1.83343006342,14.3500006124,0.27950721987,3.46918363975,2.17874966749,0.0484966865032,nan,2.04906914587,nan,4.93805564334,nan,4.59022798291,2.76634879369,1.763541256,nan,4.63934988709,0.0687630188391,nan,nan,nan,7.88456772972,4.39560512261,4.96325369918,1.3023570431,1194.36308867,264.02731072,710.030741596,762.296102956,2071.48139177,2193.21593484,15.3234799688,0.325405861193,nan,nan,0.00187236396501,20.9910751843,nan,nan,48.3418477157,41.3670722021,6.41844817332,4.32335850605,95.28653794,79.1857440082,0.373774580342,40.7722278299,41.312846287,44.2764118586,57.644493304,nan
Tryptophan,Tryptophan,calculated_concentration,0.192000493407,0.912006497383,nan,70.0106658936,123.839790344,122.538665771,0.0799999982119,2.0533220768,0.00533299986273,8.42133331299,0.0106664998457,5.23735713959,0.202665999532,8.17068576813,0.106665998697,7.69598007202,8.62400054932,0.0266660004854,5.75466632843,0.0106664998457,0.261333495378,0.0373345017433,0.175999999046,0.976001024246,4.3199763298,0.0426670014858,nan,0.0266660004854,8.42664813995,7.97331571579,130.698562622,0.0106664998457,142.650787354,140.095993042,8.85865688324,161.727996826,122.314888,0.00533349998295,125.802536011,0.0639994964004,109.781333923,8.53331184387,55.0451965332,0.0800015032291,8.75736045837,nan,0.175999000669,125.760002136,nan,nan,0.298665493727,0.00533349998295,114.645454407,132.469329834,110.991996765,0.0106669999659
Tyrosine,Tyrosine,calculated_concentration,39.020312464,43.373550933,49.7453125443,86.0387819433,79.6359709884,0.731040595547,198.902697707,104.924064661,202.339405703,6.45175888356,81.6245334584,36.648882206,1.74506961876,41.5448568026,8.55023143616,38.7109272026,44.8787550989,25.0846381204,54.5248272424,52.6825861895,5.54639763591,7.21179525378,89.9279067452,23.6182397034,25.9358970732,28.1149148338,28.3693355309,1.38137737019,44.2959711646,39.4166063721,107.000333414,1.74503720839,178.421144892,177.923265286,284.485723467,287.022773374,21.8834632451,2.68240346907,77.396806367,87.8693640334,115.683668741,54.8672994449,87.9619925168,2.53733808397,50.4176336053,57.9450722758,69.6464114929,4.79461167057,70.8052902444,69.8515581446,nan,41.4588454786,40.0733939652,35.5988150862,39.4605963813,39.7237270042
Valine,Valine,calculated_concentration,39.329757601,39.6202556973,37.8144222137,43.7624455124,39.2974892461,40.7832412324,40.6539419865,42.7898684978,2.95902179445,20.5838920525,39.2006802563,22.3394112902,40.9772254407,0.0444054834585,nan,26.8830648625,22.2138174481,38.9103393577,32.4224677884,38.3944303701,5.80363947047,39.878553221,38.2977320766,nan,30.4111389584,9.83376134731,0.446338306088,0.0214433137067,37.2670306236,28.247307322,156.587150603,0.924336814737,333.676808667,327.173756551,40.0723354654,514.163251676,17.4361674303,17.7466821659,0.870484999945,1.16846915546,24.9849935615,nan,43.6975761311,0.0444076701882,42.1420678893,49.5863606721,2.53292833112,37.8144222137,81.8837668121,80.8479230603,1.7192693831,0.709903368026,38.0077707988,0.0444054834585,41.268214738,1.47016245082
