transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,potentialOutlier,initialPeakQuality,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'5-HTP',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,2.027412386901856,7846855631408001446,b'',NA,1,0.0,b'5-HTP',0,5634.169563999993,5-HTP,1.976667046546936,2.0966670513153076,0.0,0.0,0.0,1.0,1.0,-0.012587613098144157,2.04,2.027412386901856,0.012587613098144157,0.00012587613098144157,0.0002208561954161146,2.0,24.727099,3.207899767737652,0.11802927404642105,7.83636504832581,7.83636504832581,1.0,1,,5-HTP,1.25,0.0,2.026667,0.014152260250276322,0.12130474127453618,5-HTP,24.16648423517041,5634.169563999993,0.10666699999999985,0.09000000000000008,0.04999999999999982,1.98,1.986667,2.003333,2.086667,2.076667,2.053333,0.11666700000000008,1.1428525510531993,1.2499999999999876,-0.5514942489340587,-0.022820623950398543,36,14,3.207899767737652,MS2,1.0,1,,95.71736275704086,ug/mL,0.0,1.244341254234314
b'5-HTP',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,2.027412386901856,7846855631408001446,b'',NA,1,0.0,b'5-HTP',0,5634.169563999993,5-HTP,1.976667046546936,2.0966670513153076,0.0,0.0,0.0,1.0,1.0,-0.012587613098144157,2.04,2.027412386901856,0.012587613098144157,0.00012587613098144157,0.0002208561954161146,2.0,24.727099,3.207899767737652,0.11802927404642105,7.83636504832581,7.83636504832581,1.0,1,,5-HTP,1.25,0.0,2.026667,0.014152260250276322,0.12130474127453618,5-HTP2,24.16648423517041,5634.169563999993,0.10666699999999985,0.09000000000000008,0.04999999999999982,1.98,1.986667,2.003333,2.086667,2.076667,2.053333,0.11666700000000008,1.1428525510531993,1.2499999999999876,-0.5514942489340587,-0.022820623950398543,36,14,3.207899767737652,MS2,1.0,1,,,,0.0,1.244341254234314
b'5-hydroxyindole',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,5.285934448425293,9451732024192833834,b'',NA,1,0.0,b'5-hydroxyindole',0,5634.169563999993,5-hydroxyindole,5.260000228881836,5.313333034515381,0.0,0.0,0.0,0.9999999999999999,1.0,-0.36406555157470777,5.65,5.285934448425293,0.36406555157470777,0.003640655515747078,1.1075045323174887e-05,2.0,2.496273,0.914798819526172,0.07810747623443604,6.21307352681051,6.21307352681051,1.0,1,,5-hydroxyindole,1.2500000000000002,0.0,5.286667,0.012655664507499546,0.25311329014999184,5-hydroxyindole,2.144824605365912,5634.169563999993,0.04999999999999982,0.04999999999999982,0.040000000000000036,5.263333,5.263333,5.266667,5.313333,5.313333,5.306667,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.14119792053284286,-0.0658319193931264,16,11,0.914798819526172,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],0.06239868327975274,ug/mL,0.0,0.06239868327975273
b'5-hydroxyindole',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,5.285934448425293,9451732024192833834,b'',NA,1,0.0,b'5-hydroxyindole',0,5634.169563999993,5-hydroxyindole,5.260000228881836,5.313333034515381,0.0,0.0,0.0,0.9999999999999999,1.0,-0.36406555157470777,5.65,5.285934448425293,0.36406555157470777,0.003640655515747078,1.1075045323174887e-05,2.0,2.496273,0.914798819526172,0.07810747623443604,6.21307352681051,6.21307352681051,1.0,1,,5-hydroxyindole,1.2500000000000002,0.0,5.286667,0.012655664507499546,0.25311329014999184,5-hydroxyindole2,2.144824605365912,5634.169563999993,0.04999999999999982,0.04999999999999982,0.040000000000000036,5.263333,5.263333,5.266667,5.313333,5.313333,5.306667,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.14119792053284286,-0.0658319193931264,16,11,0.914798819526172,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.06239868327975273
b'Acetylserotonin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,5.285934448425293,17344422962432561996,b'',NA,1,0.0,b'Acetylserotonin',0,5634.169563999993,Acetylserotonin,5.260000228881836,5.313333034515381,0.0,0.0,0.0,0.9999999999999999,1.0,0.2159344484252923,5.07,5.285934448425293,0.2159344484252923,0.002159344484252923,1.1075045323174887e-05,2.0,2.496273,0.914798819526172,0.07810747623443604,6.223524122573495,6.223524122573495,1.0,1,,Acetylserotonin,1.2500000000000002,0.0,5.286667,0.012655664507499546,0.25311329014999184,Acetylserotonin,2.144824605365912,5634.169563999993,0.04999999999999982,0.04999999999999982,0.040000000000000036,5.263333,5.263333,5.266667,5.313333,5.313333,5.306667,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.14119792053284286,-0.0658319193931264,16,11,0.914798819526172,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],5.609952179310482,ug/mL,0.0,0.06239868327975273
b'Acetylserotonin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,5.285934448425293,17344422962432561996,b'',NA,1,0.0,b'Acetylserotonin',0,5634.169563999993,Acetylserotonin,5.260000228881836,5.313333034515381,0.0,0.0,0.0,0.9999999999999999,1.0,0.2159344484252923,5.07,5.285934448425293,0.2159344484252923,0.002159344484252923,1.1075045323174887e-05,2.0,2.496273,0.914798819526172,0.07810747623443604,6.223524122573495,6.223524122573495,1.0,1,,Acetylserotonin,1.2500000000000002,0.0,5.286667,0.012655664507499546,0.25311329014999184,Acetylserotonin2,2.144824605365912,5634.169563999993,0.04999999999999982,0.04999999999999982,0.040000000000000036,5.263333,5.263333,5.266667,5.313333,5.313333,5.306667,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.14119792053284286,-0.0658319193931264,16,11,0.914798819526172,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.06239868327975273
b'Acetyltryptamine',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,7.301759121154785,10942099641831539106,b'',NA,1,0.0,b'Acetyltryptamine',0,5634.169563999993,Acetyltryptamine,7.260000228881836,7.349999904632568,0.0,0.0,0.0,0.9999999999999997,0.9999999999999997,0.0017591211547856034,7.3,7.301759121154785,0.0017591211547856034,1.7591211547856033e-05,1.2233044797843789e-05,2.0,1.648385,0.4997960207080479,-0.04243974760174751,6.162888363278298,6.162888363278298,1.0,1,,none,1.25,0.0,7.303333,0.01521900592980336,0.18262661014475962,Acetyltryptamine,1.4422105912497776,5634.169563999993,0.0833339999999998,0.0833339999999998,0.05999999999999961,7.263333,7.263333,7.273333,7.346667,7.346667,7.333333,0.0833339999999998,1.0416749999999966,1.0833499999999932,-0.04322035683069944,-0.029968131625802263,26,17,0.4997960207080479,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[total_width],4.533463075901199,ug/mL,0.0,0.06892304867506027
b'Acetyltryptamine',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,7.301759121154785,10942099641831539106,b'',NA,1,0.0,b'Acetyltryptamine',0,5634.169563999993,Acetyltryptamine,7.260000228881836,7.349999904632568,0.0,0.0,0.0,0.9999999999999997,0.9999999999999997,0.0017591211547856034,7.3,7.301759121154785,0.0017591211547856034,1.7591211547856033e-05,1.2233044797843789e-05,2.0,1.648385,0.4997960207080479,-0.04243974760174751,6.162888363278298,6.162888363278298,1.0,1,,none,1.25,0.0,7.303333,0.01521900592980336,0.18262661014475962,Acetyltryptamine2,1.4422105912497776,5634.169563999993,0.0833339999999998,0.0833339999999998,0.05999999999999961,7.263333,7.263333,7.273333,7.346667,7.346667,7.333333,0.0833339999999998,1.0416749999999966,1.0833499999999932,-0.04322035683069944,-0.029968131625802263,26,17,0.4997960207080479,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[total_width],,,0.0,0.06892304867506027
b'Melatonin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,6.964722322692871,1934740921405137778,b'',NA,1,0.0,b'Melatonin',0,5634.169563999993,Melatonin,6.896667003631592,7.0833330154418945,0.0,0.0,0.0,1.0,1.0,0.004722322692870762,6.96,6.964722322692871,0.004722322692870762,4.7223226928707615e-05,0.0011774538335769752,2.0,115.355389,4.748017702210751,0.6857000589370728,7.89130854079533,7.89130854079533,1.0,1,,Melatonin,1.25,0.0,6.963333,0.027196186677703092,0.14834310613857404,Melatonin,113.4809907206797,5634.169563999993,0.12333299999999969,0.1066659999999997,0.05666599999999988,6.91,6.916667,6.936667,7.033333,7.023333,6.993333,0.1833329999999993,1.1562541015881256,1.285732653323608,-0.5708835248994483,-0.00503065333915362,56,16,4.748017702210751,MS2,1.0,1,,402.35778205732237,ug/mL,0.0,6.633974552154541
b'Melatonin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,6.964722322692871,1934740921405137778,b'',NA,1,0.0,b'Melatonin',0,5634.169563999993,Melatonin,6.896667003631592,7.0833330154418945,0.0,0.0,0.0,1.0,1.0,0.004722322692870762,6.96,6.964722322692871,0.004722322692870762,4.7223226928707615e-05,0.0011774538335769752,2.0,115.355389,4.748017702210751,0.6857000589370728,7.89130854079533,7.89130854079533,1.0,1,,Melatonin,1.25,0.0,6.963333,0.027196186677703092,0.14834310613857404,Melatonin2,113.4809907206797,5634.169563999993,0.12333299999999969,0.1066659999999997,0.05666599999999988,6.91,6.916667,6.936667,7.033333,7.023333,6.993333,0.1833329999999993,1.1562541015881256,1.285732653323608,-0.5708835248994483,-0.00503065333915362,56,16,4.748017702210751,MS2,1.0,1,,,,0.0,6.633974552154541
b'Riboflavin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,5.285934448425293,404176040702250601,b'',NA,1,0.0,b'Riboflavin',0,5634.169563999993,Riboflavin,5.260000228881836,5.313333034515381,0.0,0.0,0.0,0.9999999999999999,1.0,0.005934448425292338,5.28,5.285934448425293,0.005934448425292338,5.934448425292338e-05,1.1075045323174887e-05,2.0,2.496273,0.914798819526172,0.07810747623443604,6.238339546637495,6.238339546637495,1.0,1,,Riboflavin,1.2500000000000002,0.0,5.286667,0.012655664507499546,0.25311329014999184,Riboflavin,2.144824605365912,5634.169563999993,0.04999999999999982,0.04999999999999982,0.040000000000000036,5.263333,5.263333,5.266667,5.313333,5.313333,5.306667,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.14119792053284286,-0.0658319193931264,16,11,0.914798819526172,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],2.1213315484796493,ug/mL,0.0,0.06239868327975273
b'Riboflavin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,5.285934448425293,404176040702250601,b'',NA,1,0.0,b'Riboflavin',0,5634.169563999993,Riboflavin,5.260000228881836,5.313333034515381,0.0,0.0,0.0,0.9999999999999999,1.0,0.005934448425292338,5.28,5.285934448425293,0.005934448425292338,5.934448425292338e-05,1.1075045323174887e-05,2.0,2.496273,0.914798819526172,0.07810747623443604,6.238339546637495,6.238339546637495,1.0,1,,Riboflavin,1.2500000000000002,0.0,5.286667,0.012655664507499546,0.25311329014999184,Riboflavin2,2.144824605365912,5634.169563999993,0.04999999999999982,0.04999999999999982,0.040000000000000036,5.263333,5.263333,5.266667,5.313333,5.313333,5.306667,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.14119792053284286,-0.0658319193931264,16,11,0.914798819526172,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.06239868327975273
b'Serotonin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,1.88804799810791,5594179874214254921,b'',NA,1,0.0,b'Serotonin',0,5634.169563999993,Serotonin,1.8666670322418213,1.9199999570846558,0.0,0.0,0.0,1.0,1.0,0.018047998107909802,1.87,1.88804799810791,0.018047998107909802,0.00018047998107909803,8.334717238055164e-06,2.0,1.729563,0.5478687754445726,0.24356169998645782,5.657876986015722,5.657876986015722,1.0,1,,none,1.25,0.0,1.886667,0.015516013720097616,0.33248363340471176,Serotonin,1.3698235168505888,5634.169563999993,0.04666699999999979,0.04666699999999979,0.043332999999999844,1.87,1.87,1.87,1.916667,1.916667,1.913333,0.04666699999999979,1.3999820003599877,1.7999640007199753,-1.0974713867664398,-0.8011772124409693,15,13,0.5478687754445726,MS2,0.6666666666666667,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],4.74825717031898,ug/mL,0.0,0.04695921018719673
b'Serotonin',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,1.88804799810791,5594179874214254921,b'',NA,1,0.0,b'Serotonin',0,5634.169563999993,Serotonin,1.8666670322418213,1.9199999570846558,0.0,0.0,0.0,1.0,1.0,0.018047998107909802,1.87,1.88804799810791,0.018047998107909802,0.00018047998107909803,8.334717238055164e-06,2.0,1.729563,0.5478687754445726,0.24356169998645782,5.657876986015722,5.657876986015722,1.0,1,,none,1.25,0.0,1.886667,0.015516013720097616,0.33248363340471176,Serotonin2,1.3698235168505888,5634.169563999993,0.04666699999999979,0.04666699999999979,0.043332999999999844,1.87,1.87,1.87,1.916667,1.916667,1.913333,0.04666699999999979,1.3999820003599877,1.7999640007199753,-1.0974713867664398,-0.8011772124409693,15,13,0.5478687754445726,MS2,0.6666666666666667,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.04695921018719673
b'Tryptamine',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,3.8783680831298826,10373420086697217719,b'',NA,1,0.0,b'Tryptamine',0,5634.169563999993,Tryptamine,3.8466670513153076,3.913332939147949,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.07836808312988275,3.8,3.8783680831298826,0.07836808312988275,0.0007836808312988274,1.0068471630758701e-05,2.0,1.919775,0.6522079916726986,0.04260345920920372,6.108470341286753,6.108470341286753,1.0,1,,none,1.25,0.0,3.88,0.01965230743425852,0.3275384572376417,Tryptamine,1.5524582965828222,5634.169563999993,0.06000000000000005,0.06000000000000005,0.04999999999999982,3.85,3.85,3.853333,3.91,3.91,3.903333,0.06000000000000005,1.0000000000000073,1.0000000000000149,-0.04893755722829346,-0.03152262275644497,19,14,0.6522079916726986,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],3.340978987528932,ug/mL,0.0,0.05672747641801834
b'Tryptamine',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,3.8783680831298826,10373420086697217719,b'',NA,1,0.0,b'Tryptamine',0,5634.169563999993,Tryptamine,3.8466670513153076,3.913332939147949,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.07836808312988275,3.8,3.8783680831298826,0.07836808312988275,0.0007836808312988274,1.0068471630758701e-05,2.0,1.919775,0.6522079916726986,0.04260345920920372,6.108470341286753,6.108470341286753,1.0,1,,none,1.25,0.0,3.88,0.01965230743425852,0.3275384572376417,Tryptamine2,1.5524582965828222,5634.169563999993,0.06000000000000005,0.06000000000000005,0.04999999999999982,3.85,3.85,3.853333,3.91,3.91,3.903333,0.06000000000000005,1.0000000000000073,1.0000000000000149,-0.04893755722829346,-0.03152262275644497,19,14,0.6522079916726986,MS2,0.75,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.05672747641801834
b'Tryptophan',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,3.4216042503662107,8855018249080261941,b'',NA,1,0.0,b'Tryptophan',0,5634.169563999993,Tryptophan,3.3666670322418213,3.549999952316284,0.0,0.0,0.0,0.9999999999999996,0.9999999999999997,-0.008395749633789418,3.43,3.4216042503662107,0.008395749633789418,8.395749633789417e-05,0.001496724111007918,2.0,169.965789,5.135597175622069,0.4189040958881378,8.676700893665545,8.676700893665545,1.0,1,,Tryptophan,1.2500000000000002,0.0,3.42,0.04185226448467734,0.23689916331107344,Tryptophan,166.1437091806517,5634.169563999993,0.11000000000000032,0.09333400000000003,0.046667000000000236,3.38,3.383333,3.4,3.49,3.476667,3.446667,0.17666699999999969,1.3750000000000027,1.5454495868219384,-0.5672670208874662,-0.003414315376037887,54,13,5.135597175622069,MS2,1.0,1,,473.0217339572456,ug/mL,0.0,8.4327974319458
b'Tryptophan',20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,3.4216042503662107,8855018249080261941,b'',NA,1,0.0,b'Tryptophan',0,5634.169563999993,Tryptophan,3.3666670322418213,3.549999952316284,0.0,0.0,0.0,0.9999999999999996,0.9999999999999997,-0.008395749633789418,3.43,3.4216042503662107,0.008395749633789418,8.395749633789417e-05,0.001496724111007918,2.0,169.965789,5.135597175622069,0.4189040958881378,8.676700893665545,8.676700893665545,1.0,1,,Tryptophan,1.2500000000000002,0.0,3.42,0.04185226448467734,0.23689916331107344,Tryptophan2,166.1437091806517,5634.169563999993,0.11000000000000032,0.09333400000000003,0.046667000000000236,3.38,3.383333,3.4,3.49,3.476667,3.446667,0.17666699999999969,1.3750000000000027,1.5454495868219384,-0.5672670208874662,-0.003414315376037887,54,13,5.135597175622069,MS2,1.0,1,,,,0.0,8.4327974319458
