component_name,component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_sn_score_l,metaValue_sn_score_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_calculated_concentration_l,metaValue_calculated_concentration_u
arg-L.arg-L_1.Heavy,arg-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
arg-L.arg-L_1.Light,arg-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
orn.orn_1.Heavy,orn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
orn.orn_1.Light,orn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asn-L.asn-L_1.Heavy,asn-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asn-L.asn-L_1.Light,asn-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asn-L.asn-L_2.Light,asn-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ser-L.ser-L_1.Heavy,ser-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ser-L.ser-L_1.Light,ser-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ser-L.ser-L_2.Light,ser-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
citr-L.citr-L_1.Heavy,citr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
citr-L.citr-L_1.Light,citr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gln-L.gln-L_1.Heavy,gln-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gln-L.gln-L_1.Light,gln-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gln-L.gln-L_2.Light,gln-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,Hexose_Pool_fru_glc-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Light,Hexose_Pool_fru_glc-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_2.Light,Hexose_Pool_fru_glc-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Lcystin.Lcystin_1.Heavy,Lcystin,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Lcystin.Lcystin_1.Light,Lcystin,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_1.Heavy,thr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_1.Light,thr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ala-L.ala-L_1.Heavy,ala-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ala-L.ala-L_1.Light,ala-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ala-L.ala-L_2.Light,ala-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
his-L.his-L_1.Heavy,his-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
his-L.his-L_1.Light,his-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
his-L.his-L_2.Light,his-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
cytd.cytd_1.Heavy,cytd,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
cytd.cytd_1.Light,cytd,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ura.ura_1.Heavy,ura,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ura.ura_1.Light,ura,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
AICAr.AICAr_1.Heavy,AICAr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
AICAr.AICAr_1.Light,AICAr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_1.Heavy,met-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_1.Light,met-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
uri.uri_1.Heavy,uri,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
uri.uri_1.Light,uri,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
uri.uri_2.Light,uri,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gua.gua_1.Heavy,gua,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gua.gua_1.Light,gua,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
hxan.hxan_1.Heavy,hxan,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
hxan.hxan_1.Light,hxan,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
tyr-L.tyr-L_1.Heavy,tyr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
tyr-L.tyr-L_1.Light,tyr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
tyr-L.tyr-L_2.Light,tyr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
xan.xan_1.Heavy,xan,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
xan.xan_1.Light,xan,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ins.ins_1.Heavy,ins,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ins.ins_1.Light,ins,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ins.ins_2.Light,ins,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gsn.gsn_1.Heavy,gsn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gsn.gsn_1.Light,gsn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gsn.gsn_2.Light,gsn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thym.thym_1.Heavy,thym,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thym.thym_1.Light,thym,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ade.ade_1.Heavy,ade,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ade.ade_1.Light,ade,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ade.ade_2.Light,ade,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gam6p.gam6p_1.Heavy,gam6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gam6p.gam6p_1.Light,gam6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
gam6p.gam6p_2.Light,gam6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
adn.adn_1.Heavy,adn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
adn.adn_1.Light,adn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
phe-L.phe-L_1.Heavy,phe-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
phe-L.phe-L_1.Light,phe-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
phe-L.phe-L_2.Light,phe-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_1.Heavy,asp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_1.Light,asp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_2.Light,asp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_1.Heavy,glu-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_1.Light,glu-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_2.Light,glu-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_1.Heavy,skm,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_1.Light,skm,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_2.Light,skm,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,100,100,1.00E+12,0,1.00E+06,10,1.00E+06,100,5.00E+06,100,4.00E+06,0.1,1,0.001,0.25,0,2,0.9,1.2,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
