component_name,component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_var_xcorr_coelution_l,metaValue_var_xcorr_coelution_u,metaValue_var_xcorr_coelution_weighted_l,metaValue_var_xcorr_coelution_weighted_u,metaValue_var_xcorr_shape_l,metaValue_var_xcorr_shape_u,metaValue_var_xcorr_shape_weighted_l,metaValue_var_xcorr_shape_weighted_u
3G-olP_M0,3G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
3G-olP_M1,3G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
3G-olP_M2,3G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
3G-olP_M3,3G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
R5P_M0,R5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
R5P_M1,R5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
R5P_M2,R5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
R5P_M3,R5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
R5P_M4,R5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
R5P_M5,R5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
PEP_M0,PEP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
PEP_M1,PEP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
PEP_M2,PEP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
PEP_M3,PEP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
E4P_M0,E4P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
E4P_M1,E4P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
E4P_M2,E4P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
E4P_M3,E4P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
E4P_M4,E4P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
Ru5P_M0,Ru5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
Ru5P_M1,Ru5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
Ru5P_M2,Ru5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
Ru5P_M3,Ru5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
Ru5P_M4,Ru5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
Ru5P_M5,Ru5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M0,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M1,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M2,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M3,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M4,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M5,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M6,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
S7P_M7,S7P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
P-glyco_M0,P-glyco,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
P-glyco_M1,P-glyco,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
P-glyco_M2,P-glyco,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M0,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M1,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M2,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M3,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M4,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M5,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
6PG_M6,6PG,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2PGA_M0,2PGA,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2PGA_M1,2PGA,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2PGA_M2,2PGA,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2PGA_M3,2PGA,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2G-olP_M0,2G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2G-olP_M1,2G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2G-olP_M2,2G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2G-olP_M3,2G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M0,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M1,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M2,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M3,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M4,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M5,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G6P_M6,G6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M0,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M1,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M2,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M3,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M4,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M5,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M6,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M7,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M8,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M9,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
AMP_M10,AMP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
F6P_M0,F6P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
